feature_name,feature_version,definition,unit,depends_on_disc,depends_on_fov,depends_on_resolution,depends_on_av_heuristic,clinical_status,primary_secondary_exploratory,missingness_policy,allowed_in_classifier,validated_by_expert,source_sensitive,generation_script
vessel_density,pvbm_v1,Vessel mask pixels / (H*W) over the full rectangular frame. Acquisition-canvas dependent: changed by -46% with 100px of black padding and -77% with 300px. Not a retinal quantity. See fov_density() in geometry_core for the corrected form.,fraction of pixels,0,1,1,0,exploratory,secondary,not disc dependent; NaN only on extraction failure,1,0,1,src/biomarker/extract_pvbm.py
vessel_pixels,pvbm_v1,"Raw vessel pixel count. Scales with resolution and field of view; QC only, never a clinical biomarker.",count,0,1,1,0,qc_only,exploratory,not disc dependent; NaN only on extraction failure,0,0,1,src/biomarker/extract_pvbm.py
density_r0c0,pvbm_v1,"Vessel fraction in the top-left ninth of the RECTANGLE. Frame-relative, not anatomy-relative: the same retina lands in a different cell when the canvas or framing changes.",fraction,0,1,1,0,exploratory,exploratory,not disc dependent; NaN only on extraction failure,1,0,1,src/biomarker/extract_pvbm.py
density_r0c1,pvbm_v1,see density_r0c0,fraction,0,1,1,0,exploratory,exploratory,not disc dependent; NaN only on extraction failure,1,0,1,src/biomarker/extract_pvbm.py
density_r0c2,pvbm_v1,see density_r0c0,fraction,0,1,1,0,exploratory,exploratory,not disc dependent; NaN only on extraction failure,1,0,1,src/biomarker/extract_pvbm.py
density_r1c0,pvbm_v1,see density_r0c0,fraction,0,1,1,0,exploratory,exploratory,not disc dependent; NaN only on extraction failure,1,0,1,src/biomarker/extract_pvbm.py
density_r1c1,pvbm_v1,see density_r0c0,fraction,0,1,1,0,exploratory,exploratory,not disc dependent; NaN only on extraction failure,1,0,1,src/biomarker/extract_pvbm.py
density_r1c2,pvbm_v1,see density_r0c0,fraction,0,1,1,0,exploratory,exploratory,not disc dependent; NaN only on extraction failure,1,0,1,src/biomarker/extract_pvbm.py
density_r2c0,pvbm_v1,see density_r0c0,fraction,0,1,1,0,exploratory,exploratory,not disc dependent; NaN only on extraction failure,1,0,1,src/biomarker/extract_pvbm.py
density_r2c1,pvbm_v1,see density_r0c0,fraction,0,1,1,0,exploratory,exploratory,not disc dependent; NaN only on extraction failure,1,0,1,src/biomarker/extract_pvbm.py
